,reductant,reductant_C,ligand_Z,temperature,catalyst_C,cat2lig,solvent,concentration,experiment,z%,ligand_ID
190,i-PrMgCl,2,2622-14-2,70,5,2,THF,0.1,Prelim_1,0.33,11
191,n-BuZnBr,2,2622-14-2,70,5,2,THF,0.1,Prelim_1,0.69,11
192,EtMgBr,2,2622-14-2,70,5,2,THF,0.1,Prelim_1,0.36,11
193,i-PrMgCl,2,2622-14-2,70,5,2,PhMe,0.1,Prelim_1,0.35,11
194,n-BuZnBr,2,2622-14-2,70,5,2,PhMe,0.1,Prelim_1,0.6,11
195,EtMgBr,2,2622-14-2,70,5,2,PhMe,0.1,Prelim_1,0.35,11
196,i-PrMgCl,2,18437-78-0,70,5,2,THF,0.1,Prelim_1,0.27,61
197,n-BuZnBr,2,18437-78-0,70,5,2,THF,0.1,Prelim_1,0.15,61
198,EtMgBr,2,18437-78-0,70,5,2,THF,0.1,Prelim_1,0.28,61
199,i-PrMgCl,2,18437-78-0,70,5,2,PhMe,0.1,Prelim_1,0.21,61
200,n-BuZnBr,2,18437-78-0,70,5,2,PhMe,0.1,Prelim_1,0.13,61
201,EtMgBr,2,18437-78-0,70,5,2,PhMe,0.1,Prelim_1,0.21,61
202,i-PrMgCl,2,657408-07-6,70,5,2,THF,0.1,Prelim_1,0.4,3
203,n-BuZnBr,2,657408-07-6,70,5,2,THF,0.1,Prelim_1,0.38,3
204,EtMgBr,2,657408-07-6,70,5,2,THF,0.1,Prelim_1,0.69,3
205,i-PrMgCl,2,657408-07-6,70,5,2,PhMe,0.1,Prelim_1,0.43,3
206,n-BuZnBr,2,657408-07-6,70,5,2,PhMe,0.1,Prelim_1,0.41,3
207,EtMgBr,2,657408-07-6,70,5,2,PhMe,0.1,Prelim_1,0.56,3
208,n-BuZnBr,2,2622-14-2,70,5,3,THF,0.1,Prelim_2,0.77,11
209,n-BuZnBr,2,2622-14-2,70,5,3,PhMe,0.1,Prelim_2,0.67,11
210,n-BuZnBr,2,2622-14-2,70,5,3,Dioxane,0.1,Prelim_2,0.74,11
211,n-BuZnBr,2,2622-14-2,70,5,3,MTBE,0.1,Prelim_2,0.48,11
212,n-PrZnBr,2,2622-14-2,70,5,3,THF,0.1,Prelim_2,0.67,11
213,n-PrZnBr,2,2622-14-2,70,5,3,PhMe,0.1,Prelim_2,0.79,11
214,n-PrZnBr,2,2622-14-2,70,5,3,Dioxane,0.1,Prelim_2,0.77,11
215,n-PrZnBr,2,2622-14-2,70,5,3,MTBE,0.1,Prelim_2,0.6,11
216,n-BuZnBr,2,40438-64-0,70,5,3,THF,0.1,Prelim_2,0.75,69
217,n-BuZnBr,2,40438-64-0,70,5,3,PhMe,0.1,Prelim_2,0.69,69
218,n-BuZnBr,2,40438-64-0,70,5,3,Dioxane,0.1,Prelim_2,0.72,69
219,n-BuZnBr,2,40438-64-0,70,5,3,MTBE,0.1,Prelim_2,0.72,69
220,n-PrZnBr,2,40438-64-0,70,5,3,THF,0.1,Prelim_2,0.8,69
221,n-PrZnBr,2,40438-64-0,70,5,3,PhMe,0.1,Prelim_2,0.75,69
222,n-PrZnBr,2,40438-64-0,70,5,3,Dioxane,0.1,Prelim_2,0.79,69
223,n-PrZnBr,2,40438-64-0,70,5,3,MTBE,0.1,Prelim_2,0.79,69
225,n-BuZnBr,2,18437-78-0,70,5,3,PhMe,0.1,Prelim_2,0.14,61
226,n-BuZnBr,2,18437-78-0,70,5,3,Dioxane,0.1,Prelim_2,0.16,61
227,n-BuZnBr,2,18437-78-0,70,5,3,MTBE,0.1,Prelim_2,0.15,61
228,n-PrZnBr,2,18437-78-0,70,5,3,THF,0.1,Prelim_2,0.21,61
229,n-PrZnBr,2,18437-78-0,70,5,3,PhMe,0.1,Prelim_2,0.16,61
230,n-PrZnBr,2,18437-78-0,70,5,3,Dioxane,0.1,Prelim_2,0.2,61
231,n-PrZnBr,2,18437-78-0,70,5,3,MTBE,0.1,Prelim_2,0.27,61
233,n-BuZnBr,2,13406-29-6,70,5,3,PhMe,0.1,Prelim_2,0.13,16
234,n-BuZnBr,2,13406-29-6,70,5,3,Dioxane,0.1,Prelim_2,0.13,16
235,n-BuZnBr,2,13406-29-6,70,5,3,MTBE,0.1,Prelim_2,0.17,16
236,n-PrZnBr,2,13406-29-6,70,5,3,THF,0.1,Prelim_2,0.22,16
237,n-PrZnBr,2,13406-29-6,70,5,3,PhMe,0.1,Prelim_2,0.15,16
238,n-PrZnBr,2,13406-29-6,70,5,3,Dioxane,0.1,Prelim_2,0.16,16
239,n-PrZnBr,2,13406-29-6,70,5,3,MTBE,0.1,Prelim_2,0.2,16
240,sec-BuZnBr,2,2622-14-2,70,5,3,THF,0.1,Prelim_2,0.63,11
241,sec-BuZnBr,2,2622-14-2,70,5,3,PhMe,0.1,Prelim_2,0.74,11
242,sec-BuZnBr,2,2622-14-2,70,5,3,Dioxane,0.1,Prelim_2,0.69,11
243,sec-BuZnBr,2,2622-14-2,70,5,3,MTBE,0.1,Prelim_2,0.52,11
244,sec-BuZnBr,2,40438-64-0,70,5,3,THF,0.1,Prelim_2,0.68,69
245,sec-BuZnBr,2,40438-64-0,70,5,3,PhMe,0.1,Prelim_2,0.77,69
246,sec-BuZnBr,2,40438-64-0,70,5,3,Dioxane,0.1,Prelim_2,0.72,69
247,sec-BuZnBr,2,40438-64-0,70,5,3,MTBE,0.1,Prelim_2,0.68,69
248,sec-BuZnBr,2,18437-78-0,70,5,3,THF,0.1,Prelim_2,0.44,61
249,sec-BuZnBr,2,18437-78-0,70,5,3,PhMe,0.1,Prelim_2,0.39,61
250,sec-BuZnBr,2,18437-78-0,70,5,3,Dioxane,0.1,Prelim_2,0.45,61
251,sec-BuZnBr,2,18437-78-0,70,5,3,MTBE,0.1,Prelim_2,0.44,61
252,sec-BuZnBr,2,13406-29-6,70,5,3,THF,0.1,Prelim_2,0.37,16
253,sec-BuZnBr,2,13406-29-6,70,5,3,PhMe,0.1,Prelim_2,0.35,16
254,sec-BuZnBr,2,13406-29-6,70,5,3,Dioxane,0.1,Prelim_2,0.46,16
255,sec-BuZnBr,2,13406-29-6,70,5,3,MTBE,0.1,Prelim_2,0.42,16
256,n-PrZnBr,2,18437-78-0,50,5,3,THF,0.1,Natalie_screen,0.15,61
257,n-BuZnBr,2,18437-78-0,50,5,3,THF,0.1,Natalie_screen,0.15,61
258,n-PrZnBr,3,672937-60-9,50,5,3,THF,0.1,Natalie_screen,0.86,44
259,n-BuZnBr,2,672937-60-9,70,5,3,THF,0.2,Zell_appendix,0.76,44
260,n-BuZnBr,2,2622-14-2,70,5,3,THF,0.2,Zell_appendix,0.71,11
