ligand,ID,CAN SMILES,SMILES,P in rings,diff R,Formula:Formula,MolWt:MWt,AtomCount:nAtom,RotatableBondsCount:nRotB,Virtual,Chiral,diast,diast,PH,PB,PC,PN,PO,PF,PSi,PS,PC3,PAr3,CPN,CPO,P[N]3,P(OR)3,Phosphoramidite,PON2,PXY,,rkey,[Fe],Buchwald 1,Buchwald 2,PPhR2,Cy2PR,Cy checked?,Pkey,WuPhos,CAS PR3,COM,sigma_and_strem
Xphos,00000001,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,0,2,C33H49P,477,83,7,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.5,0,,564483-18-7,1,1
CPhos,00000002,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CN(c1cccc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)N(C)C)C,0,2,C28H41N2P,437,72,6,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,,1160556-64-8,1,1
SPhos,00000003,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,COc1cccc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)OC,0,2,C26H35O2P,411,64,6,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,,"657408-07-6, 1356823-31-8 (1S)",1,1
RuPhos,00000004,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CC(Oc1cccc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)OC(C)C)C,0,2,C30H43O2P,467,76,8,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,,787618-22-8,1,1
CyJohnPhos,00000005,c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,C1CCC(CC1)P(c1ccccc1c1ccccc1)C1CCCCC1,0,2,C24H31P,350,56,4,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,,247940-06-3,1,1
PAd3,00000006,C1C2CC3CC1CC(C2)(C3)P(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3,C1[C@@H]2C[C@@H]3C[C@H]1C[C@](C2)(C3)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,0,1,C30H45P,437,76,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,897665-73-5,1,1
PhSPhos,00000007,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1)c1ccccc1,COc1cccc(c1c1ccccc1P(c1ccccc1)c1ccccc1)OC,0,2,C26H23O2P,398,52,6,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,,819867-24-8,1,1
PtBu3,00000008,CC(C)(C)P(C(C)(C)C)C(C)(C)C,CC(P(C(C)(C)C)C(C)(C)C)(C)C,0,1,C12H27P,202,40,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,13716-12-6,1,1
PoTol3,00000009,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,0,1,C21H21P,304,43,3,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,6163-58-2,1,1
CataCXium A,00000010,CCCCP(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3,CCCCP([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,0,2,C24H39P,359,64,5,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,321921-71-5,1,1
PCy3,00000011,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,C1CCC(CC1)P(C1CCCCC1)C1CCCCC1,0,1,C18H33P,280,52,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,,2622-14-2,1,1
PtBu2neopentyl,00000012,CC(C)(C)CP(C(C)(C)C)C(C)(C)C,CC(CP(C(C)(C)C)C(C)(C)C)(C)C,0,2,C13H29P,216,43,4,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,60633-21-8,1,1
PtBuPh2,00000013,CC(C)(C)P(c1ccccc1)c1ccccc1,CC(P(c1ccccc1)c1ccccc1)(C)C,0,2,C16H19P,242,36,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,6002-34-2,1,1
PtBu2Me,00000014,CP(C(C)(C)C)C(C)(C)C,CP(C(C)(C)C)C(C)(C)C,0,2,C9H21P,160,31,2,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,6002-40-0,1,1
P(2OMePh)3,00000015,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,0,1,C21H21O3P,352,46,6,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,4731-65-1,1,1
P(4CF3Ph)3,00000016,FC(F)(F)c1ccc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1,FC(c1ccc(cc1)P(c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F)(F)F,0,1,C21H12F9P,466,43,6,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,13406-29-6,1,1
PPh3,00000017,c1ccc(P(c2ccccc2)c2ccccc2)cc1,c1ccc(cc1)P(c1ccccc1)c1ccccc1,0,1,C18H15P,262,34,3,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,603-35-0,1,1
PpTol3,00000018,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,Cc1ccc(cc1)P(c1ccc(cc1)C)c1ccc(cc1)C,0,1,C21H21P,304,43,3,,0,0,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,1038-95-5,1,1
PBnPh2,00000019,c1ccc(CP(c2ccccc2)c2ccccc2)cc1,c1ccc(cc1)CP(c1ccccc1)c1ccccc1,0,2,C19H17P,276,37,4,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,7650-91-1,1,1
PnBu3,00000020,CCCCP(CCCC)CCCC,CCCCP(CCCC)CCCC,0,1,C12H27P,202,40,9,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,998-40-3,1,1
PEt3,00000021,CCP(CC)CC,CCP(CC)CC,0,1,C6H15P,118,22,3,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,554-70-1,1,1
PMe3,00000022,CP(C)C,CP(C)C,0,1,C3H9P,76,13,0,,0,0,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,594-09-2,1,1
